module,composer_version
RDi_Deletereport,N/A
WeltPixel_Sitemap,1.10.15
WeltPixel_GoogleTagManager,1.10.15
WeltPixel_GA4,1.12.5
WeltPixel_RecentlyViewedBar,1.10.15
WeltPixel_CmsBlockScheduler,1.10.15
WeltPixel_TitleRewrite,1.10.15
WeltPixel_LazyLoading,1.10.15
WeltPixel_SocialLogin,1.10.15
WeltPixel_Quickview,1.10.15
WeltPixel_SpeedOptimization,1.10.15
WeltPixel_QuickCart,1.10.15
WeltPixel_LayeredNavigation,1.10.15
WeltPixel_EnhancedEmail,1.10.15
WeltPixel_Newsletter,1.10.15
WeltPixel_CustomHeader,1.10.15
WeltPixel_CategoryPage,1.10.15
WeltPixel_Command,1.10.15
WeltPixel_ProductLabels,1.10.15
WeltPixel_SmartProductTabs,1.10.15
WeltPixel_ThankYouPage,1.10.15
WeltPixel_AdvanceCategorySorting,1.10.15
WeltPixel_ProductPage,1.10.15
WeltPixel_UserProfile,1.10.15
WeltPixel_SampleData,1.10.15
WeltPixel_NavigationLinks,1.10.15
WeltPixel_OwlCarouselSlider,1.10.15
WeltPixel_FullPageScroll,1.10.15
WeltPixel_InstagramWidget,1.10.15
WeltPixel_SearchAutoComplete,1.10.15
WeltPixel_ReviewsWidget,1.10.15
WeltPixel_DesignElements,1.10.15
WeltPixel_CustomFooter,1.10.15
WeltPixel_GoogleCards,1.11.11
WeltPixel_FrontendOptions,1.10.15
WeltPixel_Backend,1.11.15
WeltPixel_AjaxInfiniteScroll,1.10.15
WeltPixel_Multistore,1.10.15
WeltPixel_AdvancedWishlist,1.10.15
WeltPixel_MobileDetect,1.10.15
Ess_M2ePro,1.58.2
WeSupply_Toolbox,1.12.6
WSW_DetailProduct,N/A
WSW_ManufacturerInBrand,N/A
WSW_AmastyXsearchCleaner,N/A
WSW_ProductAlert,N/A
WSW_Core,1
WSW_Breadcrumbs,N/A
WSW_PatchWPGA4,N/A
WSW_RDiMapping,N/A
WSW_ImagesFix,N/A
WSW_AutoBackorderStatus,N/A
WSW_RecaptchaPayments,N/A
Pronko_ModuleBase,3.0.0
Pronko_Bing,1.2.0
Ampersand_DisableStockReservation,N/A
Meetanshi_Extensions,1.0.0
Meetanshi_GuestToCustomer,1.0.6
WebShopApps_MatrixRate,N/A
