module,composer_version
2tvenom/cborencode,1.0.2
aheadworks/module-afptc,1.8.0
aheadworks/module-afptc-klarna,1.0.0
allure-framework/allure-codeception,1.5.2
allure-framework/allure-php-api,1.4.0
allure-framework/allure-phpunit,1.5.0
amasty/amp,1.3.10
amasty/base,1.14.6
amasty/cron-schedule-list,1.0.6
amasty/image-optimizer-speed-size,2.0.1
amasty/module-advanced-conditions,1.5.7
amasty/module-elastic-search,1.16.1
amasty/module-elastic-search-pro,1.16.1
amasty/module-facebook-pixel,1.1.3
amasty/module-facebook-pixel-lite,1.0.1
amasty/module-image-optimizer,2.0.2
amasty/module-image-optimizer-ui,2.0.2
amasty/module-lazy-load,2.0.2
amasty/module-lazy-load-ui,1.0.3
amasty/module-optimizer-pro,3.0.2
amasty/module-page-speed-optimizer,2.2.5
amasty/module-page-speed-tools,2.0.0
amasty/module-shipping-suite,1.1.2
amasty/module-shippingarea,1.0.7
amasty/mostviewed,2.14.0
amasty/shippingtablerates,1.10.7
amasty/shiprestriction,2.6.3
amasty/shiprules,2.8.4
amasty/stockstatus,2.4.0
amasty/system-common-rules,2.4.12
amasty/xnotif,1.14.4
amasty/xsearch,1.18.4
amzn/amazon-pay-and-login-magento-2-module,4.2.2
amzn/amazon-pay-and-login-with-amazon-core-module,4.2.2
amzn/amazon-pay-module,4.2.2
amzn/amazon-pay-sdk-php,3.7.1
amzn/login-with-amazon-module,4.2.2
astock/stock-api-libphp,1.1.4
avalara/avatax-magento,2.5.2
avalara/avataxclient,23.5.0
aws/aws-crt-php,v1.0.4
aws/aws-sdk-php,3.261.8
bacon/bacon-qr-code,2.0.8
beberlei/assert,v3.3.2
behat/gherkin,v4.9.0
braintree/braintree_php,5.2.0
brick/math,0.9.3
brick/varexporter,0.3.8
christian-riesen/base32,1.6.0
codeception/codeception,4.1.31
codeception/lib-asserts,1.13.2
codeception/module-asserts,1.3.1
codeception/module-sequence,1.0.1
codeception/module-webdriver,1.4.1
codeception/phpunit-wrapper,9.0.9
codeception/stub,4.0.2
colinmollenhour/cache-backend-file,v1.4.5
colinmollenhour/cache-backend-redis,1.11.0
colinmollenhour/credis,1.11.1
colinmollenhour/php-redis-session-abstract,v1.4.7
composer/ca-bundle,1.3.5
composer/composer,1.10.26
composer/semver,1.7.2
composer/spdx-licenses,1.5.7
composer/xdebug-handler,1.4.6
csharpru/vault-php,4.3.1
csharpru/vault-php-guzzle6-transport,2.0.4
dasprid/enum,1.0.4
dealerdirect/phpcodesniffer-composer-installer,v0.7.2
doctrine/annotations,1.14.3
doctrine/deprecations,v1.0.0
doctrine/instantiator,1.5.0
doctrine/lexer,2.1.0
donatj/phpuseragentparser,v0.22.0
dotmailer/dotmailer-magento2-extension,4.12.0
dotmailer/dotmailer-magento2-extension-chat,1.5.0
dotmailer/dotmailer-magento2-extension-chat-graph-ql,1.0.0
dotmailer/dotmailer-magento2-extension-graph-ql,1.0.0
dotmailer/dotmailer-magento2-extension-package,4.12.0
dotmailer/dotmailer-magento2-extension-sms,1.2.0
elasticsearch/elasticsearch,v7.11.0
endroid/qr-code,3.9.7
ezimuel/guzzlestreams,3.1.0
ezimuel/ringphp,1.2.2
fgrosse/phpasn1,v2.5.0
friendsofphp/php-cs-fixer,v2.18.7
google/recaptcha,1.2.4
guzzlehttp/guzzle,6.5.8
guzzlehttp/promises,1.5.3
guzzlehttp/psr7,1.9.1
hoa/consistency,1.17.05.02
hoa/console,3.17.05.02
hoa/event,1.17.01.13
hoa/exception,1.17.01.16
hoa/file,1.17.07.11
hoa/iterator,2.17.01.10
hoa/protocol,1.17.01.14
hoa/stream,1.17.02.21
hoa/ustring,4.17.01.16
hp/subcategorythumbnails,2.3.1
jms/metadata,2.8.0
jms/serializer,3.23.0
justinrainbow/json-schema,5.2.12
khanamiryan/qrcode-detector-decoder,1.0.6
klarna/m2-payments,8.3.6
klarna/module-core,6.2.4
klarna/module-kp,7.3.7
klarna/module-kp-graph-ql,0.9.7
klarna/module-onsitemessaging,1.0.6
klarna/module-ordermanagement,6.2.5
klaviyo/magento2-extension,4.1.3
laminas/laminas-captcha,2.12.0
laminas/laminas-code,3.5.1
laminas/laminas-config,3.7.0
laminas/laminas-crypt,3.8.0
laminas/laminas-db,2.15.1
laminas/laminas-dependency-plugin,2.4.0
laminas/laminas-di,3.9.1
laminas/laminas-escaper,2.7.0
laminas/laminas-eventmanager,3.5.0
laminas/laminas-feed,2.14.1
laminas/laminas-filter,2.22.0
laminas/laminas-http,2.14.3
laminas/laminas-i18n,2.14.0
laminas/laminas-json,3.3.0
laminas/laminas-loader,2.8.0
laminas/laminas-mail,2.16.0
laminas/laminas-math,3.5.0
laminas/laminas-mime,2.10.0
laminas/laminas-modulemanager,2.12.0
laminas/laminas-mvc,3.2.0
laminas/laminas-recaptcha,3.3.1
laminas/laminas-router,3.4.5
laminas/laminas-serializer,2.13.0
laminas/laminas-server,2.11.1
laminas/laminas-servicemanager,3.17.0
laminas/laminas-session,2.13.0
laminas/laminas-soap,2.9.0
laminas/laminas-stdlib,3.13.0
laminas/laminas-text,2.9.0
laminas/laminas-uri,2.8.1
laminas/laminas-validator,2.25.0
laminas/laminas-view,2.12.1
laminas/laminas-zendframework-bridge,1.6.1
league/flysystem,2.5.0
league/flysystem-aws-s3-v3,2.5.0
league/iso3166,2.1.5
league/mime-type-detection,1.11.0
lusitanian/oauth,v0.8.11
magefan/module-admin-user-guide,2.0.2
magefan/module-community,2.1.12
magefan/module-zero-downtime-deploy,2.0.15
magento/adobe-ims,2.1.2-p1
magento/adobe-stock-integration,2.1.2-p3
magento/composer,1.6.0
magento/composer-dependency-version-audit-plugin,0.1.4
magento/composer-root-update-plugin,2.0.2
magento/data-migration-tool,2.4.2
magento/framework,103.0.3-p3
magento/framework-amqp,100.4.1
magento/framework-bulk,101.0.0
magento/framework-message-queue,100.4.3
magento/google-shopping-ads,4.0.1
magento/inventory-composer-installer,1.2.0
magento/inventory-metapackage,1.2.3-p2
magento/language-de_de,100.4.0
magento/language-en_us,100.4.0
magento/language-es_es,100.4.0
magento/language-fr_fr,100.4.0
magento/language-nl_nl,100.4.0
magento/language-pt_br,100.4.0
magento/language-zh_hans_cn,100.4.0
magento/magento-coding-standard,6
magento/magento-composer-installer,0.4.0
magento/magento2-base,2.4.3-p3
magento/magento2-functional-testing-framework,3.5.1
magento/module-admin-analytics,100.4.3-p1
magento/module-admin-notification,100.4.2
magento/module-adobe-ims,2.1.2
magento/module-adobe-ims-api,2.1.0
magento/module-adobe-stock-admin-ui,1.3.0-p2
