2tvenom/cborencode                                                1.0.2      CBOR encoder for PHP
aheadworks/module-afptc                                           1.8.0      Add Free Product To Cart module by Aheadworks
aheadworks/module-afptc-klarna                                    1.0.0      N/A
allure-framework/allure-codeception                               1.5.2      Allure Codeception integration
allure-framework/allure-php-api                                   1.4.0      Allure PHP commons
allure-framework/allure-phpunit                                   1.5.0      Allure PHPUNit integration
amasty/amp                                                        1.3.10     Accelerated Mobile Pages By Amasty
amasty/base                                                       1.14.6     Amasty Base
amasty/cron-schedule-list                                         1.0.6      Cron Schedule List by Amasty
amasty/image-optimizer-speed-size                                 2.0.1      Speed Size Image Optimizer Integration by Amasty
amasty/module-advanced-conditions                                 1.5.7      Advanced Conditions by Amasty
amasty/module-elastic-search                                      1.16.1     Elastic Search Module by Amasty
amasty/module-elastic-search-pro                                  1.16.1     Elastic Search Pro by Amasty
amasty/module-facebook-pixel                                      1.1.3      Facebook Pixel by Amasty
amasty/module-facebook-pixel-lite                                 1.0.1      Facebook Pixel Lite by Amasty
amasty/module-image-optimizer                                     2.0.2      Image Optimizer by Amasty
amasty/module-image-optimizer-ui                                  2.0.2      Image Optimizer Ui by Amasty
amasty/module-lazy-load                                           2.0.2      Lazy Load by Amasty
amasty/module-lazy-load-ui                                        1.0.3      Lazy Load Admin Ui by Amasty
amasty/module-optimizer-pro                                       3.0.2      Page Speed Optimizer Pro by Amasty
amasty/module-page-speed-optimizer                                2.2.5      Google Page Speed Optimizer by Amasty
amasty/module-page-speed-tools                                    2.0.0      Google Page Speed Tools by Amasty
amasty/module-shipping-suite                                      1.1.2      Shipping Suite By Amasty
amasty/module-shippingarea                                        1.0.7      Shipping Areas by Amasty
amasty/mostviewed                                                 2.14.0     Automatic Related Products By Amasty
amasty/shippingtablerates                                         1.10.7     Shipping Table Rates by Amasty
amasty/shiprestriction                                            2.6.3      Shipping Restrictions By Amasty
amasty/shiprules                                                  2.8.4      Shipping Rules By Amasty
amasty/stockstatus                                                2.4.0      Custom Stock Status by Amasty
amasty/system-common-rules                                        2.4.12     Common Rules by Amasty
amasty/xnotif                                                     1.14.4     Out Of Stock Notification by Amasty
amasty/xsearch                                                    1.18.4     Search Autocomplete by Amasty
amzn/amazon-pay-and-login-magento-2-module                        4.2.2      Official Magento2 Plugin to integrate with Amazon Pay and Login with Amazon
amzn/amazon-pay-and-login-with-amazon-core-module                 4.2.2      Shared functionality for Amazon Pay and Login with Amazon modules
amzn/amazon-pay-module                                            4.2.2      Amazon Pay module
amzn/amazon-pay-sdk-php                                           3.7.1      Amazon Pay SDK (PHP)
amzn/login-with-amazon-module                                     4.2.2      Login with Amazon module
astock/stock-api-libphp                                           1.1.4      Adobe Stock API library
avalara/avatax-magento                                            2.5.2      Magento module for Avalara's AvaTax suite of business tax calculation and processing services. Uses the Ava...
avalara/avataxclient                                              23.5.0     Client library for Avalara's AvaTax suite of business tax calculation and processing services. Uses the RES...
aws/aws-crt-php                                                   v1.0.4     AWS Common Runtime for PHP
