2tvenom/cborencode                                                1.0.2      CBOR encoder for PHP
aheadworks/module-afptc                                           1.8.0      Add Free Product To Cart module by Aheadworks
aheadworks/module-afptc-klarna                                    1.0.0      N/A
allure-framework/allure-codeception                               1.5.2      Allure Codeception integration
allure-framework/allure-php-api                                   1.5.0      Allure PHP commons
allure-framework/allure-phpunit                                   1.5.0      Allure PHPUNit integration
amasty/amp                                                        1.3.10     Accelerated Mobile Pages By Amasty
amasty/base                                                       1.16.0     Amasty Base
amasty/cron-schedule-list                                         1.0.7      Cron Schedule List by Amasty
amasty/image-optimizer-speed-size                                 2.0.1      Speed Size Image Optimizer Integration by Amasty
amasty/module-advanced-conditions                                 1.5.10     Advanced Conditions by Amasty
amasty/module-elastic-search                                      2.2.0      Elastic Search Module by Amasty
amasty/module-elastic-search-pro                                  1.18.0     Elastic Search Pro by Amasty
amasty/module-facebook-pixel                                      1.1.5      Facebook Pixel by Amasty
amasty/module-facebook-pixel-lite                                 1.1.0      Facebook Pixel Lite by Amasty
amasty/module-image-optimizer                                     2.1.0      Image Optimizer by Amasty
amasty/module-image-optimizer-ui                                  2.1.0      Image Optimizer Ui by Amasty
amasty/module-lazy-load                                           2.2.0      Lazy Load by Amasty
amasty/module-lazy-load-ui                                        1.0.4      Lazy Load Admin Ui by Amasty
amasty/module-optimizer-pro                                       3.4.0      Page Speed Optimizer Pro by Amasty
amasty/module-page-speed-optimizer                                2.2.6      Google Page Speed Optimizer by Amasty
amasty/module-page-speed-tools                                    2.1.0      Google Page Speed Tools by Amasty
amasty/module-shipping-suite                                      1.3.0      Shipping Suite Pro By Amasty
amasty/module-shippingarea                                        1.0.10     Shipping Areas by Amasty
amasty/mostviewed                                                 2.19.0     Automatic Related Products By Amasty
amasty/shippingtablerates                                         1.13.0     Shipping Table Rates by Amasty
amasty/shiprestriction                                            2.10.0     Shipping Restrictions By Amasty
amasty/shiprules                                                  2.11.0     Shipping Rules By Amasty
amasty/stockstatus                                                2.5.3      Custom Stock Status by Amasty
amasty/system-common-rules                                        2.5.1      Common Rules by Amasty
amasty/xnotif                                                     1.16.0     Out Of Stock Notification by Amasty
amasty/xsearch                                                    1.23.1     Search Autocomplete / Advanced Search by Amasty
amzn/amazon-pay-and-login-magento-2-module                        4.2.2      Official Magento2 Plugin to integrate with Amazo...
amzn/amazon-pay-and-login-with-amazon-core-module                 4.2.2      Shared functionality for Amazon Pay and Login wi...
amzn/amazon-pay-module                                            4.2.2      Amazon Pay module
amzn/amazon-pay-sdk-php                                           3.7.1      Amazon Pay SDK (PHP)
amzn/login-with-amazon-module                                     4.2.2      Login with Amazon module
astock/stock-api-libphp                                           1.1.4      Adobe Stock API library
avalara/avatax-magento                                            2.6.0      Magento module for Avalara's AvaTax suite of bus...
avalara/avataxclient                                              23.11.0    Client library for Avalara's AvaTax suite of bus...
aws/aws-crt-php                                                   v1.2.6     AWS Common Runtime for PHP
aws/aws-sdk-php                                                   3.316.2    AWS SDK for PHP - Use Amazon Web Services in you...
